model,framework/engine,device,latency_mean_ms,throughput_samples_per_sec
MobileNetV2,ONNX Runtime,CPU,96.62609443010297,331.1734805047724
MobileNetV2,ONNX Runtime,CUDA,95.56495094002456,334.85079713045445
ResNet18,ONNX Runtime,CPU,343.79004907998024,93.08006466631451
ResNet18,PyTorch (Compiled),CUDA,23.14304110004741,1382.705058581711
ResNet18,PyTorch (Eager),CUDA,26.42917050005053,1210.7833652947534
ResNet18,ONNX Runtime,CUDA,301.79682284011506,106.03159999783315
SmallCNN,ONNX Runtime,CPU,14.685098019981524,2179.0797689234805
SmallCNN,ONNX Runtime,CUDA,14.558884300058708,2197.970623330729
