batch_size,latency_mean_ms,throughput_samples_per_sec,peak_memory_mb
1,1.858149699983187,538.1697717945159,63.08935546875
4,3.752021060063271,1066.0920970237164,81.1904296875
16,12.145218560035573,1317.3908662828655,163.0029296875
32,26.479447060119128,1208.4844493673515,268.1904296875
64,55.111341800075024,1161.2854615692352,482.5654296875
