model,device,batch_size,latency_mean_ms,latency_per_sample_ms,throughput_samples_per_sec
SmallCNN,cuda,1,0.11231304997636471,0.11231304997636471,8903.684836360879
SmallCNN,cuda,2,0.41849266999633983,0.20924633499816991,4779.056225805561
SmallCNN,cuda,4,0.59307371993782,0.148268429984455,6744.524104725757
SmallCNN,cuda,8,1.4307342899701325,0.17884178624626657,5591.534400260307
SmallCNN,cuda,16,2.7975698999944143,0.1748481187496509,5719.249410008289
SmallCNN,cuda,32,5.416386799988686,0.16926208749964644,5907.997560304749
