model,parameters_M,latency_mean_ms,throughput_samples_per_sec
SmallCNN,2.007498,2.8348609199747443,5644.015862387543
ResNet18,11.689512,12.216144420017372,1309.7422107897155
MobileNetV2,3.504872,14.209209269974963,1126.0302875409893
